SUBJECTS,YEAR,1MARK,2MARK,TOTAL MARKS
math,2010,6,5,16
math,2011,2,7,16
math,2012,3,3,9
math,2013,5,2,9
math,2014,5,5,15
math,2015,4,6,16
math,2016,5,4,13
math,2017,4,5,14
toc,2010,1,3,7
toc,2011,3,3,9
toc,2012,4,1,6
toc,2013,1,2,5
toc,2014,5,6,17
toc,2015,1,3,7
toc,2016,3,3,9
toc,2017,2,4,10
dld,2010,3,2,7
dld,2011,3,3,9
dld,2012,2,2,6
dld,2013,3,1,5
dld,2014,3,5,13
dld,2015,1,2,5
dld,2016,2,1,4
dld,2017,2,2,6
coa,2010,1,4,9
coa,2011,3,2,7
coa,2012,2,4,10
coa,2013,1,7,15
coa,2014,2,2,6
coa,2015,1,2,5
coa,2016,1,3,7
coa,2017,3,4,11
pds,2010,3,5,13
pds,2011,4,7,18
pds,2012,2,6,14
pds,2013,2,5,12
pds,2014,0,2,4
pds,2015,5,3,11
pds,2016,5,6,17
pds,2017,4,4,12
algo,2010,1,3,7
algo,2011,1,0,1
algo,2012,4,2,8
algo,2013,5,3,11
algo,2014,1,2,5
algo,2015,4,4,12
algo,2016,1,3,7
algo,2017,2,2,6
cd,2010,2,1,4
cd,2011,1,0,1
cd,2012,1,3,7
cd,2013,2,2,6
cd,2014,1,2,5
cd,2015,2,1,4
cd,2016,1,1,3
cd,2017,2,1,4
os,2010,3,2,7
os,2011,3,2,7
os,2012,1,3,7
os,2013,1,1,3
os,2014,0,2,4
os,2015,2,2,6
os,2016,1,5,11
os,2017,2,2,6
db,2010,3,2,7
db,2011,0,3,6
db,2012,3,3,9
db,2013,1,4,9
db,2014,3,2,7
db,2015,1,2,5
db,2016,3,0,3
db,2017,2,3,8
cn,2010,2,3,8
cn,2011,5,2,9
cn,2012,3,3,9
cn,2013,4,2,8
cn,2014,4,2,8
cn,2015,2,3,8
cn,2016,2,4,10
cn,2017,2,3,8
apti,2010,5,5,15
apti,2011,5,5,15
apti,2012,5,5,15
apti,2013,5,5,15
apti,2014,5,5,15
apti,2015,5,5,15
apti,2016,5,5,15
apti,2017,5,5,15
